unique_ID,follower_count,following_count,language_code,data_set
1,3,10,1,1
2,195,205,2,1
3,11,49,1,1
4,42,269,2,1
5,61,74,2,1
6,147,174,1,1
7,0,0,2,1
8,10534,8576,2,1
9,0,42,2,1
10,84642,2575,1,1
11,1,30,2,1
12,318,606,1,1
13,5895,800,1,1
14,1,2,1,1
15,65,112,2,1
16,1067,192,1,1
17,64,825,2,1
18,197,502,2,1
19,34,38,3,1
20,2,0,2,1
21,142,290,1,2
22,0,5,2,2
23,1623,1630,1,2
24,471,1366,1,2
25,613877,27,1,2
26,337,522,1,2
27,1632,1999,1,2
28,806,824,1,2
29,3071,3759,1,2
30,309,694,1,2
31,1,0,2,2
32,78,215,1,2
33,1237,988,1,2
34,1408,1187,1,2
35,0,0,2,2
36,498,1055,1,2
37,0,9,1,2
38,1778,1639,1,2
39,221,93,1,2
40,1898,2052,1,2
